season,region,tch,surface_harvested,cane_production,sugar_production,extraction_rate,tsh,bulletin_number,source_file,format
2008,NORD,72.4,4666,337585,,,,24,bul24crop08.pdf,old
2008,EST,77.5,9683,750412,,,,24,bul24crop08.pdf,old
2008,SUD,83.3,12832,1069487,,,,24,bul24crop08.pdf,old
2008,OUEST,91.8,3156,289567,,,,24,bul24crop08.pdf,old
2008,CENTRE,74.5,3337,248492,,,,24,bul24crop08.pdf,old
2009,NORD,83.4,4753,396325,,,,26,Bul26crop09.pdf,old
2009,EST,82.9,9916,821811,,,,26,Bul26crop09.pdf,old
2009,SUD,85.1,11669,992770,,,,26,Bul26crop09.pdf,old
2009,OUEST,92.4,3271,302224,,,,26,Bul26crop09.pdf,old
2009,CENTRE,71.3,3527,251655,,,,26,Bul26crop09.pdf,old
2010,NORD,81.2,6670,541929,,,,23,Bul23crop10.pdf,old
2010,EST,78.5,10350,812724,,,,23,Bul23crop10.pdf,old
2010,SUD,82,11905,976596,,,,23,Bul23crop10.pdf,old
2010,OUEST,95.5,3121,298194,,,,23,Bul23crop10.pdf,old
2010,CENTRE,69.4,2595,180137,,,,23,Bul23crop10.pdf,old
2011,NORD,80.9,7537,609491,,,,27,bul27crop11.pdf,old
2011,EST,77.1,10390,801220,,,,27,bul27crop11.pdf,old
2011,SUD,83.4,11354,946465,,,,27,bul27crop11.pdf,old
2011,OUEST,88.3,3245,286395,,,,27,bul27crop11.pdf,old
2011,CENTRE,70.1,2615,183287,,,,27,bul27crop11.pdf,old
2012,NORD,74.9,7236,541921,,,,25,Bul25crop12.pdf,old
2012,EST,78.8,10269,808954,,,,25,Bul25crop12.pdf,old
2012,SUD,79.4,11456,909957,,,,25,Bul25crop12.pdf,old
2012,OUEST,83.6,3317,277289,,,,25,Bul25crop12.pdf,old
2012,CENTRE,78.4,2205,172867,,,,25,Bul25crop12.pdf,old
2013,NORD,70.6,7262,512642,,,,26,Bul26crop13.pdf,old
2013,EST,75.7,10171,770239,,,,26,Bul26crop13.pdf,old
2013,SUD,81.8,11464,937858,,,,26,Bul26crop13.pdf,old
2013,OUEST,89.7,3392,304130,,,,26,Bul26crop13.pdf,old
2013,CENTRE,67,2256,151124,,,,26,Bul26crop13.pdf,old
2014,NORD,77.4,7105,549732,,,,33,bul33crop14.pdf,old
2014,EST,87.7,9178,804501,,,,33,bul33crop14.pdf,old
2014,SUD,88.2,11109,979480,,,,33,bul33crop14.pdf,old
2014,OUEST,91.1,3374,307316,,,,33,bul33crop14.pdf,old
2014,CENTRE,82.1,2211,181626,,,,33,bul33crop14.pdf,old
2015,NORD,78.8,7273,573005,,,,35,bul35crop15.pdf,old
2015,EST,83.6,10488,876827,,,,35,bul35crop15.pdf,old
2015,SUD,81.4,11476,934578,,,,35,bul35crop15.pdf,old
2015,OUEST,99.9,3421,341768,,,,35,bul35crop15.pdf,old
2015,CENTRE,67.6,2183,147491,,,,35,bul35crop15.pdf,old
2016,NORD,78.1,6744,526516,,,,28,bul28crop16.pdf,old
2016,EST,77.2,10383,801981,,,,28,bul28crop16.pdf,old
2016,SUD,79.3,11115,881457,,,,28,bul28crop16.pdf,old
2016,OUEST,85.7,3496,299505,,,,28,bul28crop16.pdf,old
2016,CENTRE,69.8,2236,156094,,,,28,bul28crop16.pdf,old
2017,NORD,83.7,6438,539161,,,,28,bul28crop17.pdf,old
2017,EST,81.1,10030,813674,,,,28,bul28crop17.pdf,old
2017,SUD,76.4,10721,819252,,,,28,bul28crop17.pdf,old
2017,OUEST,85.8,3451,296118,,,,28,bul28crop17.pdf,old
2017,CENTRE,63.9,2159,137980,,,,28,bul28crop17.pdf,old
2018,NORD,72.4,6919,500653,,,,28,bul28crop18.pdf,old
2018,EST,67.7,10404,704057,,,,28,bul28crop18.pdf,old
2018,SUD,72.6,9959,722642,,,,28,bul28crop18.pdf,old
2018,OUEST,80.2,3398,272498,,,,28,bul28crop18.pdf,old
2018,CENTRE,52.1,2207,114972,,,,28,bul28crop18.pdf,old
2019,NORD,80.2,6078,487440,,,,27,bul27crop19.pdf,old
2019,EST,79.5,8891,706843,,,,27,bul27crop19.pdf,old
2019,SUD,82.9,8294,687758,,,,27,bul27crop19.pdf,old
2019,OUEST,89.1,3253,289984,,,,27,bul27crop19.pdf,old
2019,CENTRE,64.8,1695,109889,,,,27,bul27crop19.pdf,old
2020,NORD,66.2,5813.6,384680,44278,11.51,7.6,25,BH-25-12-decembre-2020.pdf,new
2020,EST,67.2,8556.1,575266,57672,10.03,6.7,25,BH-25-12-decembre-2020.pdf,new
2020,SUD,67,8926,597829,60610,10.14,6.8,25,BH-25-12-decembre-2020.pdf,new
2020,OUEST,64.8,3444.3,223309,24540,10.99,7.1,25,BH-25-12-decembre-2020.pdf,new
2020,CENTRE,44.1,2036.8,89835,8544,9.51,4.2,25,BH-25-12-decembre-2020.pdf,new
2021,NORD,70.1,5825.3,408287,40555,9.93,7,27,BH-27-25-decembre-2021.pdf,new
2021,EST,72.3,7948.5,575048,52324,9.1,6.7,27,BH-27-25-decembre-2021.pdf,new
2021,SUD,73,8428.6,615377,59787,9.72,7.1,27,BH-27-25-decembre-2021.pdf,new
2021,OUEST,64.6,3399.7,219650,22964,10.45,6.8,27,BH-27-25-decembre-2021.pdf,new
2021,CENTRE,51,1993.8,101728,8898,9.04,4.6,27,BH-27-25-decembre-2021.pdf,new
2022,NORD,67.3,6156.2,414215,46305,11.18,7.5,23,BH-23-26-novembre-2022.pdf,new
2022,EST,63.3,7094.1,449256,44556,9.92,6.3,23,BH-23-26-novembre-2022.pdf,new
2022,SUD,63.1,7789.5,491862,51472,10.46,6.6,23,BH-23-26-novembre-2022.pdf,new
2022,OUEST,69.9,3216.3,224945,24620,10.94,7.7,23,BH-23-26-novembre-2022.pdf,new
2022,CENTRE,40.6,1723.3,69887,6393,9.15,3.7,23,BH-23-26-novembre-2022.pdf,new
2023,NORD,72.1,6275,452385,46104,10.19,7.3,24,BH-24-23-decembre-2023.pdf,new
2023,EST,74,7232.2,535296,52267,9.76,7.2,24,BH-24-23-decembre-2023.pdf,new
2023,SUD,76.9,7118,547389,53143,9.71,7.5,24,BH-24-23-decembre-2023.pdf,new
2023,OUEST,69.9,2851.6,199340,20556,10.31,7.2,24,BH-24-23-decembre-2023.pdf,new
2023,CENTRE,56.6,1555.1,88052,8306,9.43,5.3,24,BH-24-23-decembre-2023.pdf,new
2024,NORD,74.5,5993.9,446353,49712,11.14,8.3,24,BH-24-14-decembre-2024-1.pdf,new
2024,EST,63.2,7530.5,476060,47149,9.9,6.3,24,BH-24-14-decembre-2024-1.pdf,new
2024,SUD,73.2,7081.6,518426,53115,10.25,7.5,24,BH-24-14-decembre-2024-1.pdf,new
2024,OUEST,64.4,2582,166375,18169,10.92,7,24,BH-24-14-decembre-2024-1.pdf,new
2024,CENTRE,52.4,1521.4,79737,7507,9.42,4.9,24,BH-24-14-decembre-2024-1.pdf,new
2025,NORD,74,5937.2,439562,43545,9.91,7.3,29,BH-29-10-janvier-2026.pdf,new
2025,EST,71.5,7611.6,544402,50209,9.22,6.6,29,BH-29-10-janvier-2026.pdf,new
2025,SUD,82.1,6840.1,561629,53626,9.55,7.8,29,BH-29-10-janvier-2026.pdf,new
2025,OUEST,73.4,2635.6,193572,20198,10.43,7.7,29,BH-29-10-janvier-2026.pdf,new
2025,CENTRE,55.6,1347.4,74879,6748,9.01,5,29,BH-29-10-janvier-2026.pdf,new
